indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
1995-01-01,404.0,1542.0,1738.0,942.0,1568.0,583.0,667.0,521.0,1043.0,1541.0,686.0,,738.0,732.0,832.0
1995-02-01,408.0,1469.0,1746.0,914.0,1561.0,600.0,651.0,520.0,1046.0,1522.0,678.0,,732.0,732.0,821.0
1995-03-01,424.0,1356.0,1675.0,905.0,1528.0,585.0,655.0,520.0,1074.0,1516.0,662.0,,729.0,729.0,815.0
1995-04-01,392.0,1318.0,1727.0,895.0,1437.0,580.0,651.0,523.0,1056.0,1558.0,677.0,528.0,731.0,725.0,794.0
1995-05-01,395.0,1232.0,1737.0,913.0,1510.0,585.0,649.0,521.0,1060.0,1582.0,682.0,528.0,731.0,728.0,801.0
1995-06-01,414.0,1299.0,1781.0,930.0,1516.0,598.0,656.0,524.0,1060.0,1584.0,697.0,525.0,736.0,731.0,820.0
1995-07-01,413.0,1323.0,1759.0,942.0,1494.0,595.0,649.0,520.0,1051.0,1576.0,686.0,528.0,731.0,728.0,816.0
1995-08-01,415.0,1296.0,1799.0,914.0,1460.0,600.0,650.0,516.0,1046.0,1524.0,685.0,525.0,733.0,728.0,807.0
1995-09-01,414.0,1363.0,1784.0,913.0,1498.0,600.0,651.0,518.0,1055.0,1598.0,683.0,523.0,732.0,717.0,807.0
1995-10-01,410.0,1376.0,1788.0,896.0,1468.0,578.0,653.0,521.0,1054.0,1550.0,675.0,522.0,734.0,746.0,807.0
1995-11-01,413.0,1327.0,1817.0,928.0,1507.0,608.0,655.0,523.0,1053.0,1653.0,686.0,526.0,731.0,734.0,814.0
1995-12-01,417.0,1449.0,1858.0,952.0,1512.0,644.0,664.0,531.0,1074.0,1590.0,706.0,528.0,752.0,742.0,835.0
1996-01-01,390.0,1472.0,1783.0,938.0,1497.0,610.0,656.0,529.0,1049.0,1596.0,696.0,532.0,732.0,736.0,810.0
1996-02-01,375.0,1429.0,1827.0,911.0,1416.0,606.0,636.0,505.0,1057.0,1504.0,654.0,513.0,712.0,704.0,781.0
1996-03-01,383.0,1444.0,1770.0,924.0,1496.0,604.0,651.0,509.0,1060.0,1585.0,675.0,522.0,735.0,726.0,802.0
1996-04-01,392.0,1282.0,1808.0,921.0,1412.0,600.0,655.0,511.0,1057.0,1581.0,677.0,523.0,735.0,726.0,801.0
1996-05-01,389.0,1376.0,1915.0,937.0,1485.0,612.0,656.0,519.0,1049.0,1587.0,679.0,523.0,734.0,724.0,806.0
1996-06-01,388.0,1281.0,1846.0,940.0,1461.0,606.0,652.0,516.0,1050.0,1588.0,679.0,524.0,736.0,725.0,803.0
1996-07-01,388.0,1286.0,1854.0,945.0,1503.0,591.0,657.0,516.0,1039.0,1607.0,676.0,525.0,740.0,718.0,802.0
1996-08-01,387.0,1306.0,1857.0,949.0,1515.0,597.0,657.0,518.0,1058.0,1590.0,679.0,528.0,739.0,720.0,805.0
1996-09-01,386.0,1431.0,1886.0,947.0,1504.0,581.0,661.0,520.0,1060.0,1693.0,679.0,527.0,748.0,713.0,807.0
1996-10-01,387.0,1332.0,1817.0,924.0,1567.0,577.0,660.0,519.0,1045.0,1626.0,669.0,528.0,744.0,718.0,801.0
1996-11-01,388.0,1516.0,1897.0,952.0,1495.0,604.0,655.0,515.0,1035.0,1592.0,679.0,527.0,743.0,739.0,803.0
1996-12-01,392.0,1405.0,1870.0,955.0,1493.0,574.0,660.0,518.0,1028.0,1637.0,674.0,524.0,752.0,720.0,802.0
1997-01-01,397.0,1448.0,1879.0,936.0,1492.0,568.0,656.0,514.0,1026.0,1625.0,677.0,526.0,743.0,722.0,797.0
1997-02-01,396.0,1422.0,1819.0,935.0,1501.0,561.0,659.0,517.0,1021.0,1617.0,682.0,527.0,741.0,724.0,797.0
1997-03-01,394.0,1286.0,1767.0,930.0,1491.0,565.0,661.0,512.0,1028.0,1564.0,677.0,525.0,742.0,725.0,795.0
1997-04-01,397.0,1361.0,1888.0,923.0,1511.0,571.0,662.0,508.0,1016.0,1611.0,674.0,522.0,744.0,725.0,795.0
1997-05-01,394.0,1351.0,2058.0,937.0,1493.0,568.0,666.0,513.0,1021.0,1625.0,677.0,521.0,745.0,729.0,800.0
1997-06-01,395.0,1337.0,1870.0,944.0,1536.0,560.0,667.0,515.0,1010.0,1652.0,681.0,524.0,744.0,729.0,800.0
1997-07-01,396.0,1342.0,1877.0,939.0,1521.0,565.0,669.0,518.0,1012.0,1654.0,678.0,522.0,745.0,735.0,797.0
1997-08-01,393.0,1181.0,1886.0,938.0,1512.0,557.0,667.0,518.0,1002.0,1672.0,678.0,521.0,748.0,734.0,797.0
1997-09-01,397.0,1414.0,1922.0,945.0,1533.0,564.0,671.0,518.0,1005.0,1653.0,683.0,524.0,749.0,740.0,802.0
1997-10-01,399.0,1328.0,1967.0,954.0,1547.0,579.0,672.0,517.0,978.0,1693.0,687.0,525.0,746.0,736.0,810.0
1997-11-01,397.0,1328.0,1926.0,940.0,1514.0,561.0,672.0,516.0,1021.0,1695.0,678.0,527.0,749.0,738.0,800.0
1997-12-01,396.0,1354.0,1934.0,946.0,1527.0,561.0,673.0,516.0,1016.0,1686.0,686.0,513.0,756.0,737.0,800.0
1998-01-01,402.0,1268.0,1898.0,942.0,1550.0,559.0,674.0,514.0,1033.0,1642.0,686.0,513.0,747.0,741.0,802.0
